#TIME             gpu_0_avail_GB    gpu_0_used_GB     gpu_1_avail_GB    gpu_1_used_GB     gpu_2_avail_GB    gpu_2_used_GB     gpu_3_avail_GB    gpu_3_used_GB     
1676375398        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375408        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375419        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375429        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375439        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375450        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375460        1.049             15.076            1.049             15.076            15.833            0.292             15.833            0.292             
1676375470        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375480        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375491        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375501        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375511        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375522        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375532        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375542        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375552        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375563        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375573        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375583        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375594        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375604        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375614        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375625        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375635        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375645        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375656        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375666        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375676        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375687        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375697        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375708        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375718        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375728        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375739        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375749        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375759        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375770        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375780        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375790        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375801        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375811        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375821        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375831        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375842        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375852        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375862        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375873        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375883        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375893        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375904        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375914        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375924        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375935        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375945        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375955        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375966        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375976        1.041             15.084            0.961             15.164            1.041             15.084            0.827             15.298            
1676375986        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676375997        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376007        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376017        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376028        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376038        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376048        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376059        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376069        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376079        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376090        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376100        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376110        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376120        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376131        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376141        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376151        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376162        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376172        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376182        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376193        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376203        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376213        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376224        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376234        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376244        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376255        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376265        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376275        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376286        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376296        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376306        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376316        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376327        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376337        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376347        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376358        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376368        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376378        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376389        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376399        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376409        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376420        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376430        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376440        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376451        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376461        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376471        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376482        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376492        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376502        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376513        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376523        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376533        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376543        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376554        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376564        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376574        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376585        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376595        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376605        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376616        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376626        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376636        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376647        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376657        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376667        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376678        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376688        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376698        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376709        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376719        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376729        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
