time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375397        0                 109               0                 22285388          23167946          0                 6                 833766552798      448952660011      0                 1344             
1676375407        0                 109               0                 22288742          23171221          0                 6                 833768495846      448954107549      0                 1344             
1676375418        0                 109               0                 22289422          23171880          0                 6                 833768955607      448954481399      0                 1344             
1676375428        0                 109               0                 22295974          23178431          0                 6                 833771650129      449040486339      0                 1344             
1676375438        0                 109               0                 22304125          23186580          0                 6                 833775117047      449091870680      0                 1344             
1676375449        0                 109               0                 22313473          23195927          0                 6                 833779326995      449127086006      0                 1344             
1676375459        0                 109               0                 22320056          23202508          0                 6                 833782214409      449163363400      0                 1344             
1676375469        0                 109               0                 22320547          23202999          0                 6                 833782465407      449164954064      0                 1344             
1676375479        0                 109               0                 22320898          23203350          0                 6                 833782675642      449165084232      0                 1344             
1676375490        0                 109               0                 22321344          23203795          0                 6                 833782890582      449165231552      0                 1344             
1676375500        0                 109               0                 22321680          23204130          0                 6                 833783081988      449165358392      0                 1344             
1676375510        0                 109               0                 22322128          23204577          0                 6                 833783297387      449165506096      0                 1344             
1676375521        0                 109               0                 22322482          23204930          0                 6                 833783510513      449165636752      0                 1344             
1676375531        0                 109               0                 22322821          23205268          0                 6                 833783701420      449165763424      0                 1344             
1676375541        0                 109               0                 22323262          23205708          0                 6                 833783916343      449165910424      0                 1344             
1676375552        0                 109               0                 22323605          23206050          0                 6                 833784112276      449166038000      0                 1344             
1676375562        0                 109               0                 22324057          23206502          0                 6                 833784349323      449166187528      0                 1344             
1676375572        0                 109               0                 22324406          23206850          0                 6                 833784542886      449166559123      0                 1344             
1676375582        0                 109               0                 22324749          23207192          0                 6                 833784736121      449166862327      0                 1344             
1676375593        0                 109               0                 22325195          23207638          0                 6                 833784957196      449167009871      0                 1344             
1676375603        0                 109               0                 22325543          23207986          0                 6                 833785170911      449167139431      0                 1344             
1676375613        0                 109               0                 22325989          23208431          0                 6                 833785385586      449167286751      0                 1344             
1676375624        0                 109               0                 22326324          23208765          0                 6                 833785576485      449167413399      0                 1344             
1676375634        0                 109               0                 22326771          23209212          0                 6                 833785795812      449167561135      0                 1344             
1676375644        0                 109               0                 22327119          23209560          0                 6                 833786009755      449167690695      0                 1344             
1676375655        0                 109               0                 22327459          23209899          0                 6                 833786200654      449167817663      0                 1344             
1676375665        0                 109               0                 22327900          23210339          0                 6                 833786415297      449167964663      0                 1344             
1676375675        0                 109               0                 22328241          23210680          0                 6                 833786613013      449168092047      0                 1344             
1676375686        0                 109               0                 22328697          23211138          0                 6                 833786858703      449168242759      0                 1344             
1676375696        0                 109               0                 22329052          23211493          0                 6                 833787073621      449168373055      0                 1344             
1676375706        0                 109               0                 22329403          23211843          0                 6                 833787286055      449168503031      0                 1344             
1676375716        0                 109               0                 22329864          23212304          0                 6                 833787523845      449168653679      0                 1344             
1676375727        0                 109               0                 22330215          23212654          0                 6                 833787735407      449168783655      0                 1344             
1676375737        0                 109               0                 22330675          23213113          0                 6                 833787971877      449168933919      0                 1344             
1676375747        0                 109               0                 22331026          23213463          0                 6                 833788186663      449169063895      0                 1344             
1676375758        0                 109               0                 22331381          23213818          0                 6                 833788403061      449169194191      0                 1344             
