#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375397 67839255 46673342 11752777 41512718 18417095 18898567 162208 46161 11517.82 11778.20 52616.35 52731.20
1676375407 67839255 46673342 11752777 41512718 18418023 18899541 162208 46161 11520.75 11776.04 52614.53 52729.56
1676375417 67839255 46673342 11752777 41512718 18418274 18899760 162208 46161 11506.62 11778.79 52627.54 52729.80
1676375428 67839290 46673346 11752777 41512718 18418329 18900073 162208 46161 11505.17 11577.69 52629.02 52931.78
1676375438 67839407 46673360 11752777 41512718 18418398 18900453 162208 46161 11504.96 11269.16 52629.66 53239.75
1676375449 67839407 46673360 11752777 41512718 18418463 18900643 162208 46161 11506.07 11151.85 52627.05 53357.11
1676375459 67839649 46673430 11752777 41512718 18418980 18901445 162208 46161 10908.32 10253.84 53224.53 54255.64
1676375471 67842688 46675068 11752777 41512718 18419504 18902601 162208 46161 10888.63 8337.21 53237.84 56164.08
1676375487 67842854 46675092 11752777 41512718 18419764 18902883 162208 46161 10866.28 8372.04 53267.80 56137.83
1676375504 67843220 46675296 11752777 41512718 18419971 18903133 162208 46161 10855.77 8352.32 53277.98 56161.11
1676375524 67843390 46675360 11752777 41512718 18420101 18903297 162208 46161 10833.99 8363.07 53300.68 56145.37
1676375544 67843661 46675488 11752777 41512718 18420262 18903479 162208 46161 10788.46 8397.77 53345.61 56112.17
1676375564 67844225 46675866 11752777 41512718 18420481 18903698 162208 46161 10711.01 8411.43 53424.94 56095.26
1676375587 67844674 46676146 11752777 41512718 18420775 18903890 162208 46161 10496.77 8558.25 53635.76 55949.59
1676375615 67845132 46676404 11752777 41512718 18420970 18904138 162208 46161 10512.83 8525.45 53620.55 55983.22
1676375647 67845696 46676720 11752777 41512718 18421206 18904397 162208 46161 10425.11 8573.58 53706.94 55931.31
1676375672 67845851 46676822 11752777 41512718 18421503 18904716 162208 46161 10420.41 8577.34 53712.74 55931.57
1676375701 67846172 46677048 11752777 41512718 18421725 18904973 162208 46161 10465.77 8530.21 53667.66 55979.09
1676375731 67846496 46677256 11752777 41512718 18421997 18905343 162208 46161 10459.68 8502.90 53675.47 56007.85
1676375762 67846653 46677356 11752777 41512718 18422562 18905998 162208 46161 10474.50 8501.93 53657.47 56008.83
1676375792 67846929 46677456 11752777 41512718 18422700 18906286 162208 46161 10489.50 8479.68 53643.12 56029.18
1676375819 67847190 46677644 11752777 41512718 18422848 18906557 162208 46161 10493.21 8469.93 53640.95 56038.62
1676375850 67847368 46677746 11752777 41512718 18423114 18906948 162208 46161 10446.71 8503.54 53684.98 56004.45
1676375878 67847530 46677850 11752777 41512718 18423440 18907373 162208 46161 10437.04 8525.52 53696.56 55982.92
1676375907 67847719 46677968 11752777 41512718 18423593 18907641 162208 46161 10420.73 8525.10 53712.35 55984.31
1676375944 67847904 46678064 11752777 41512718 18423751 18907939 162208 46161 10415.27 8534.34 53719.05 55973.70
1676375972 67848019 46678092 11752777 41512718 18423890 18908176 162208 46161 10400.69 8545.84 53736.68 55964.76
1676376003 67848220 46678218 11752777 41512718 18424081 18908401 162208 46161 10392.46 8551.64 53748.56 55956.36
