#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676376859        2.306180          2.306180          0.059746          0.059746          0.000000          122.971000        0.059746         
1676376869        2.306210          2.306210          0.060265          0.060265          0.000000          117.035000        0.060265         
1676376879        2.306210          2.306210          0.060265          0.060265          0.000000          111.603000        0.060265         
1676376890        2.306210          2.306210          0.060265          0.060265          0.000000          106.261000        0.060265         
1676376900        2.306210          2.306210          0.060265          0.060265          0.000000          100.776000        0.060265         
1676376910        2.306210          2.306210          0.060268          0.060268          0.000000          94.982000         0.060268         
1676376921        2.306210          2.306210          0.060268          0.060268          0.000000          89.230200         0.060268         
1676376931        2.306210          2.306210          0.060268          0.060268          0.000000          83.345800         0.060268         
1676376941        2.306210          2.306210          0.060268          0.060268          0.000000          77.549700         0.060268         
1676376951        2.306210          2.306210          0.060268          0.060268          0.000000          71.643500         0.060268         
1676376962        2.306210          2.306210          0.060268          0.060268          0.000000          66.015400         0.060268         
1676376972        2.306210          2.306210          0.060272          0.060272          0.000000          60.644300         0.060272         
1676376982        2.306210          2.306210          0.060272          0.060272          0.000000          55.102000         0.060272         
1676376993        2.306210          2.306210          0.060272          0.060272          0.000000          49.372500         0.060272         
1676377003        2.306210          2.306210          0.060272          0.060272          0.000000          43.925600         0.060272         
1676377013        2.306210          2.306210          0.060272          0.060272          0.000000          38.243300         0.060272         
1676377024        2.306210          2.306210          0.060276          0.060276          0.000000          32.419200         0.060276         
1676377034        2.306210          2.306210          0.060276          0.060276          0.000000          27.172200         0.060276         
1676377044        2.306210          2.306210          0.060276          0.060276          0.000000          21.690300         0.060276         
1676377055        2.306210          2.306210          0.060276          0.060276          0.000000          16.204800         0.060276         
1676377065        2.306210          2.306210          0.060276          0.060276          0.000000          10.338000         0.060276         
1676377075        2.306210          2.306210          0.060276          0.060276          0.000000          4.782250          0.060276         
1676377086        2.306210          2.306210          0.060276          0.060276          0.000000          2.208550          0.060276         
1676377097        2.306210          2.306210          0.060280          0.060280          0.000000          1.471090          0.060280         
1676377108        2.306210          2.306210          0.060280          0.060280          0.000000          0.928452          0.060280         
1676377118        2.306210          2.306210          0.060280          0.060280          0.000000          0.865726          0.060280         
1676377129        2.306210          2.306210          0.060280          0.060280          0.000000          1.553180          0.060280         
1676377139        2.306210          2.306210          0.060280          0.060280          0.000000          0.714531          0.060280         
1676377149        2.306210          2.306210          0.060280          0.060280          0.000000          0.698914          0.060280         
1676377159        2.306210          2.306210          0.060284          0.060284          0.000000          0.804356          0.060284         
1676377170        2.306210          2.306210          0.060284          0.060284          0.000000          0.661869          0.060284         
